questionId,type,kpId,textId,question,options,answer,xp
q101,choice,kp_v_zhi_1,CROSS,『輟耕之壟上』中『之』的用法是？,代詞|結構助詞(的)|動詞(往/到)|賓語前置標誌,動詞(往/到),8
q102,choice,kp_v_zhi_2,CROSS,『三里之城』中『之』的用法是？,代詞|結構助詞(的)|動詞(往/到)|主謂之間,結構助詞(的),8
q103,choice,kp_v_hu_1,CROSS,『不亦樂乎』中『乎』的用法是？,疑問語氣詞|感嘆語氣詞|介詞(於)|代詞,疑問語氣詞,8
q104,choice,kp_v_hu_2,CROSS,『生乎吾前』中『乎』的用法是？,疑問語氣詞|感嘆語氣詞|介詞(於)|代詞,介詞(於),8
q105,choice,kp_v_zhe_1,CROSS,『廉頗者，趙之良將也』中『者』的用法是？,代詞，指人|結構助詞，表停頓|時間詞尾|賓語前置標誌,結構助詞，表停頓,8
q106,choice,kp_v_zhe_2,CROSS,『用之者』中『者』的用法是？,代詞，指人或事物|結構助詞，表停頓|時間詞尾|語氣詞,代詞，指人或事物,8
q107,choice,kp_v_ye_1,CROSS,『魚，我所欲也』中『也』的用法是？,表判斷|表疑問|表感嘆|表禮使,表判斷,8
q108,choice,kp_v_ye_2,CROSS,『何也』中『也』的用法是？,表判斷|表疑問|表感嘆|表禮使,表疑問,8
q109,choice,kp_v_er_1,CROSS,『人不知而不慍』中『而』表示？,並列|轉折|順承|修飾,轉折,8
q110,choice,kp_v_er_2,CROSS,『舍魚而取熊掌』中『而』表示？,並列|轉折|順承|修飾,順承,8
q111,choice,kp_v_yan_1,CROSS,『心不在焉』中『焉』的用法是？,代詞(哪裡)|語氣助詞|兼詞(於此)|疑問副詞,兼詞(於此),8
q112,choice,kp_v_yan_2,CROSS,『且焉置土石』中『焉』的用法是？,代詞(哪裡)|語氣助詞|兼詞(於此)|疑問副詞,代詞(哪裡),8
q113,choice,kp_v_nai_1,CROSS,『乃不知有漢』中『乃』表示？,於是/就|竟然/居然|你的|才,竟然/居然,8
q114,choice,kp_v_nai_2,CROSS,『乃入見』中『乃』表示？,於是/就|竟然/居然|你的|才,於是/就,8
